AÑO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,UNIONES MARITALES DE HECHO
Año 2016,IV Trim,Tolima,Ibague,43
Año 2016,IV Trim,Tolima,Demás Municipios,63
Año 2016,IV Trim,Valle,Cali,176
Año 2016,IV Trim,Valle,Demás Municipios,120
Año 2016,IV Trim,Vaupes,Mitu,0
Año 2016,IV Trim,Vichada,Puerto Carreño,0
Año 2016,IV Trim,Vichada,Demás Municipios,0
Año 2017,I Trim,Amazonas,Leticia,2
Año 2017,I Trim,Antioquia,Medellin,71
Año 2017,I Trim,Antioquia,Demás Municipios,128
Año 2017,I Trim,Arauca,Arauca,6
Año 2017,I Trim,Arauca,Demás Municipios,5
Año 2017,I Trim,Atlantico,Barranquilla,44
Año 2017,I Trim,Atlantico,Demás Municipios,27
Año 2017,I Trim,Bolivar,Cartagena,38
Año 2017,I Trim,Bolivar,Demás Municipios,10
Año 2017,I Trim,Boyaca,Tunja,17
Año 2017,I Trim,Boyaca,Demás Municipios,60
Año 2017,I Trim,Caldas,Manizales,33
Año 2017,I Trim,Caldas,Demás Municipios,15
Año 2017,I Trim,Caqueta,Florencia,51
Año 2017,I Trim,Caqueta,Demás Municipios,3
Año 2017,I Trim,Casanare,Yopal,7
Año 2017,I Trim,Casanare,Demás Municipios,8
Año 2017,I Trim,Cauca,Popayan,38
Año 2017,I Trim,Cauca,Demás Municipios,30
Año 2017,I Trim,Cesar,Valledupar,18
Año 2017,I Trim,Cesar,Demás Municipios,13
Año 2017,I Trim,Choco,Quibdo,8
Año 2017,I Trim,Choco,Demás Municipios,0
Año 2017,I Trim,Cordoba,Monteria,14
Año 2017,I Trim,Cordoba,Demás Municipios,59
Año 2017,I Trim,Cundinamarca,Bogota,410
Año 2017,I Trim,Cundinamarca,Demás Municipios,123
Año 2017,I Trim,Guainia,Inirida,0
Año 2017,I Trim,Guajira,Riohacha,9
Año 2017,I Trim,Guajira,Demás Municipios,2
Año 2017,I Trim,Guaviare,San Jose Del Guaviare,5
Año 2017,I Trim,Huila,Neiva,36
Año 2017,I Trim,Huila,Demás Municipios,40
Año 2017,I Trim,Magdalena,Santa Marta,4
Año 2017,I Trim,Magdalena,Demás Municipios,9
Año 2017,I Trim,Meta,Villavicencio,30
Año 2017,I Trim,Meta,Demás Municipios,11
Año 2017,I Trim,Nariño,Pasto,20
Año 2017,I Trim,Nariño,Demás Municipios,16
Año 2017,I Trim,Norte De Santander,Cucuta,46
Año 2017,I Trim,Norte De Santander,Demás Municipios,15
Año 2017,I Trim,Putumayo,Mocoa,6
Año 2017,I Trim,Putumayo,Demás Municipios,16
Año 2017,I Trim,Quindio,Armenia,24
Año 2017,I Trim,Quindio,Demás Municipios,6
Año 2017,I Trim,Risaralda,Pereira,30
Año 2017,I Trim,Risaralda,Demás Municipios,16
Año 2017,I Trim,San Andres Y Providencia,San Andres Isla,12
Año 2017,I Trim,San Andres Y Providencia,Demás Municipios,0
Año 2017,I Trim,Santander,Bucaramanga,56
Año 2017,I Trim,Santander,Demás Municipios,59
Año 2017,I Trim,Sucre,Sincelejo,2
Año 2017,I Trim,Sucre,Demás Municipios,13
Año 2017,I Trim,Tolima,Ibague,58
Año 2017,I Trim,Tolima,Demás Municipios,68
Año 2017,I Trim,Valle,Cali,241
Año 2017,I Trim,Valle,Demás Municipios,134
Año 2017,I Trim,Vaupes,Mitu,0
Año 2017,I Trim,Vichada,Puerto Carreño,0
Año 2017,I Trim,Vichada,Demás Municipios,0
Año 2017,II Trim,Amazonas,Leticia,1
Año 2017,II Trim,Antioquia,Medellin,78
Año 2017,II Trim,Antioquia,Demás Municipios,95
Año 2017,II Trim,Arauca,Arauca,1
Año 2017,II Trim,Arauca,Demás Municipios,2
Año 2017,II Trim,Atlantico,Barranquilla,32
Año 2017,II Trim,Atlantico,Demás Municipios,17
Año 2017,II Trim,Bolivar,Cartagena,23
Año 2017,II Trim,Bolivar,Demás Municipios,11
Año 2017,II Trim,Boyaca,Tunja,9
Año 2017,II Trim,Boyaca,Demás Municipios,64
Año 2017,II Trim,Caldas,Manizales,28
Año 2017,II Trim,Caldas,Demás Municipios,13
Año 2017,II Trim,Caqueta,Florencia,45
Año 2017,II Trim,Caqueta,Demás Municipios,6
Año 2017,II Trim,Casanare,Yopal,11
Año 2017,II Trim,Casanare,Demás Municipios,5
Año 2017,II Trim,Cauca,Popayan,34
Año 2017,II Trim,Cauca,Demás Municipios,19
Año 2017,II Trim,Cesar,Valledupar,15
Año 2017,II Trim,Cesar,Demás Municipios,7
Año 2017,II Trim,Choco,Quibdo,2
Año 2017,II Trim,Choco,Demás Municipios,22
Año 2017,II Trim,Cordoba,Monteria,14
Año 2017,II Trim,Cordoba,Demás Municipios,32
Año 2017,II Trim,Cundinamarca,Bogota,413
Año 2017,II Trim,Cundinamarca,Demás Municipios,119
Año 2017,II Trim,Guainia,Inirida,0
